Account,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1,1,1507100.86,15071.008600000001,124769.221441,143.991995,124625.229446,37,37.0,100.0,3372.1411200270272,423.770899,82.69202994549416
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,1,2,30262439.89,17020.494876265468,1113373.547515,3245.845752,1110127.701763,1051,59.055118110236215,89.058039961941,1059.3468577687916,89.7109,36.68335090621142
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,1,1,9824876.71,23336.999311163898,125650.11674,1301.148108,124348.968632,245,58.19477434679335,100.0,512.8576193469388,46.7368,12.656542397670453
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,1,2,8686990.84,15134.130383275262,276719.270187,918.352858,275800.917329,153,26.65505226480836,60.130718954248366,1808.6226809607842,174.4971,31.748728922223663
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,1,2,11415855.67,12080.27055026455,-40282.335904,1795.973591,-42078.309494999994,246,26.031746031746035,25.609756097560975,-163.74933294308943,-5.53124,-3.685953178751076
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,1,1,366532.65,2156.074411764706,-4235.153050999999,63.29054718,-4298.44359818,62,36.470588235294116,82.25806451612904,-68.30892017741934,8.0098245,-11.7273143284234
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,1,3,2573742.54,981.595171624714,-1658.7368009999998,576.03277151,-2234.76957251,1572,59.95423340961098,79.77099236641222,-1.0551760820610685,1.18799,-0.868295696938669
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,1,3,1084672.12,1506.4890555555558,-11933.080125,261.61390739,-12194.69403239,394,54.861111111111114,65.98984771573603,-30.287005393401017,1.732785,-11.242746824164705
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,1,11,6487032.05,2204.2242779476724,30053.395556,1386.71850896,28666.67704704,1662,56.50696568127761,71.11913357400722,18.08266880625752,1.495095,4.419074366534077
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,1,2,1523508.3,1846.6767272727272,35658.894935000004,442.18215349,35216.71278151,476,58.54545454545455,100.0,74.91364482142858,9.518824,23.11553719891779
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,1,3,4886973.24,6131.710464240904,16706.884912,1181.135135,15525.749777,306,38.393977415307404,98.0392156862745,54.59766311111112,1.507744,3.1769663991448414
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,1,6,13491850.52,7222.6180513918625,30121.91049,3916.842206,26205.068284,756,40.524625267665954,94.44444444444444,39.84379694444444,9.039596,1.9422886612295496
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,1,4,4848220.23,8093.856811352254,-19038.340561,1388.05355,-20426.394111,235,39.23205342237062,0.0,-81.01421515319149,-19.127045,-4.21317373014633
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,1,4,10486688.13,19419.792833333337,-100019.806374,2760.289908,-102780.096282,306,56.851851851851855,43.13725490196079,-326.86211233333336,-2.241643,-9.801006286052296
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,1,2,159708.30000000002,31941.660000000003,1793.1602149999999,34.662051,1758.4981639999999,4,80.0,100.0,448.29005374999997,101.04273,11.01068738443775
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,1,17,463208.61,806.9836411149826,-25666.012284,154.006218275,-25820.018502275,278,48.78048780487805,59.352517985611506,-92.3237851942446,0.6223019999999999,-55.74166357200269
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,1,33,917809.07,656.0465117941386,13422.524859,269.576032127,13152.948826873,673,48.39170836311651,89.45022288261517,19.94431628380386,4.366215,14.330811556343631
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,1,30,609457.49,687.0997632468997,5505.749364,171.2468637489,5334.5025002511,442,49.83089064261556,93.66515837104072,12.456446524886879,5.3081175,8.752870524654805
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,1,53,1489279.85,501.44102693602696,31192.591971,492.24852719,30700.34344381,1440,48.45117845117845,92.5,21.661522202083333,4.536713,20.614220654237684
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,1,73,3277267.08,438.0787434834915,108009.960644,1131.28972511,106878.67091889,3939,52.5865525999198,84.41228738258442,27.420655152069056,2.72932,32.612133314105726
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,1,4,277460.02999999997,2477.321696428571,11415.247787,91.484217,11323.76357,77,68.75,100.0,148.24997125974025,109.805416,40.81223363956243
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,1,12,584523.86,1534.1833595800524,3979.190772,171.61459,3807.576182,267,70.07874015748031,61.79775280898876,14.903336224719101,2.555201,6.513979056389589
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,1,13,3242893.15,3194.968620689655,42292.843076,979.541791,41313.301285,678,66.79802955665025,86.13569321533923,62.3788245958702,8.820732,12.739643082289037
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,1,14,1022433.76,4041.240158102767,20075.672949,333.813676,19741.859273,167,66.00790513833992,82.03592814371258,120.21361047305389,24.64622,19.30869269516296
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,1,25,5039569.4,3409.7221921515566,90895.05041,1531.742448,89363.307962,871,58.93098782138024,82.77841561423651,104.35711872560275,16.971525,17.73233006018332
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,1,16,426110.77999999997,1620.1930798479086,-56967.825773000004,41.722011,-57009.547784,187,73.00380228136882,15.508021390374333,-304.64077953475936,-95.839817,-133.79043774485126
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,1,22,338174.45,1320.9939453125,-467.058896,48.742691,-515.8015870000002,193,81.25,90.15544041450777,-2.4199942797927463,0.009082,-1.5252529781596456
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,1,6,39859.44,1207.8618181818183,-1228.907104,2.805659,-1231.7127629999998,31,100.0,64.51612903225806,-39.64216464516129,2.49526,-30.901406617855134
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,1,12,156310.59,1532.4567647058823,-3531.989984,29.548333500000002,-3561.5383175,81,85.29411764705883,91.35802469135803,-43.60481461728395,0.422698,-22.785009752058386
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,1,17,449446.74,2791.594658385093,30992.181771,24.25606888,30967.92570212,78,58.38509316770186,94.87179487179486,397.3356637307692,75.9681825,68.90232578418525
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,1,10,6740754.44,4041.219688249401,-76179.494853,626.96220466,-76806.45705766,1057,63.36930455635491,47.682119205298015,-72.07142370198675,-5.487201,-11.394341351746377
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,1,9,6207226.96,4219.732807613868,54685.021109,489.815443,54195.205666,504,34.262406526172676,94.04761904761905,108.50202600992064,1.92549,8.730985030068886
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,1,4,2965311.29,10901.87974264706,10953.24796,161.401985,10791.845975,113,41.544117647058826,100.0,96.9313978761062,1.524508,3.639363601181986
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,1,5,733557.1,11643.763492063492,10591.760255,94.18151972,10497.57873528,29,46.03174603174603,96.55172413793103,365.2331122413793,476.864518,14.31051343553215
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,1,5,546525.63,4752.3967826086955,14406.384865,86.29597369,14320.088891309999,64,55.65217391304348,89.0625,225.099763515625,46.948940500000006,26.202044524993273
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,1,1,64377.46000000001,3388.287368421053,110.553364,6.43773,104.115634,19,100.0,100.0,5.818598105263158,1.572897,1.6172684352566875
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,1,2,337546.24,4272.7372151898735,4256.559309,43.863969077,4212.695339923,49,64.55696202531645,100.0,86.86855732653062,43.521393,12.480350365991338
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,1,2,63735.380000000005,31867.690000000002,8019.163096,6.373468,8012.789628,1,100.0,100.0,8019.163096,8019.163096,125.71964940038013
