date,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
2023-05-01,Greed,3,1,1,477.0,159.0,0.0,0.0,0.0,0,0.0,,,,0.0
2023-12-05,Extreme Greed,9,1,2,50005.83,5556.203333333334,0.0,12.501455,-12.501455,0,0.0,,,,-0.2499999500058293
2023-12-14,Greed,11,1,4,113203.35,10291.213636363636,-205.43473700000007,28.300831000000002,-233.73556800000003,6,54.54545454545454,66.66666666666666,-34.23912283333335,22.872075,-2.064740734262723
2023-12-15,Greed,2,1,1,10609.95,5304.975,-24.632033999999997,2.652489,-27.284523,2,100.0,0.0,-12.316016999999999,-12.316016999999999,-2.5715976983868916
2023-12-16,Greed,3,1,1,15348.77,5116.256666666667,0.0,3.8371890000000004,-3.8371890000000004,0,0.0,,,,-0.2499997719686985
2023-12-17,Greed,14,1,3,116278.02,8305.572857142857,304.982785,29.069499,275.91328599999997,11,78.57142857142857,63.63636363636363,27.725707727272724,0.6,2.3728756819216557
2023-12-18,Greed,2,1,1,31164.179999999997,15582.089999999998,0.0,7.791045,-7.791045,0,0.0,,,,-0.25000000000000006
2023-12-19,Greed,15,1,2,91602.41,6106.827333333334,1000.5386120000001,22.900596,977.638016,10,66.66666666666666,100.0,100.0538612,23.210407,10.672623307618217
2023-12-20,Greed,18,1,2,141636.79,7868.710555555556,162.732282,35.409187,127.323095,8,44.44444444444444,100.0,20.34153525,5.350747,0.8989408401588315
2023-12-21,Greed,49,1,1,125233.97,2555.795306122449,537.211402,31.308469,505.902933,27,55.10204081632652,96.29629629629629,19.896718592592592,11.395824,4.0396621859069075
2023-12-22,Greed,10,1,2,88874.28,8887.428,141.832675,22.218566000000003,119.61410899999998,2,20.0,100.0,70.9163375,70.9163375,1.3458799216151172
2023-12-23,Greed,13,1,2,78438.25,6033.711538461538,146.936704,19.609555,127.327149,8,61.53846153846154,100.0,18.367088,22.501094000000002,1.6232788084894805
