sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
Extreme Fear,21400,32,85,114484261.44,5349.7318429906545,739110.24849,23888.6339393869,715221.6145506131,10406,48.63551401869159,76.21564482029598,71.02731582644628,6.38805,6.247335708458523
Fear,61837,32,134,483324789.79,7816.109930785776,3357155.441642,92456.9486741548,3264698.4929678454,29808,48.356162168281124,87.28864734299518,112.62598770940687,6.3504830000000005,6.7546680036551106
Neutral,37686,31,147,180242063.08,4782.732661465797,1292920.67555,39374.2683038708,1253546.4072461291,18159,48.312370641617576,82.38889806707418,71.19999314664905,4.583458,6.954793935585088
Greed,50303,31,193,288582494.72,5736.884375086974,2150129.272951,63098.6919791683,2087030.5809718317,25176,50.46617497962348,76.89068954559897,85.40392727005879,4.9276,7.23200685820113
Extreme Greed,39992,30,165,124465164.57,3112.2515645629123,2715171.310673,27030.66546515,2688140.64520785,20853,52.222944588917784,89.16702632714717,130.20530910051312,8.53074,21.597534173475683
